host_id,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews
38901,Merri-bek,-37.76606,144.97951,Private room,2,1 shared bath,1,1,"[""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""27\"" HDTV with Netflix"", ""Carbon monoxide alarm"", ""Portable air conditioning"", ""Barbecue utensils"", ""Books and reading material"", ""Chef oven"", ""Hot water"", ""Dining table"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Dishes and silverware"", ""Rice maker"", ""First aid kit"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Wifi \u2013 24 Mbps"", ""Toaster"", ""Hair dryer"", ""Room-darkening shades"", ""Shampoo"", ""Stove"", ""Bathtub"", ""Shared backyard \u2013 Fully fenced"", ""Keypad"", ""Portable fans"", ""Body soap"", ""BBQ grill: gas"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Outdoor dining area"", ""Refrigerator"", ""Pets allowed"", ""Shower gel"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Lock on bedroom door"", ""Radiant heating"", ""Freezer"", ""Security cameras on property"", ""Blender"", ""Outdoor furniture"", ""Iron"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Self check-in"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Baking sheet"", ""Cleaning products"", ""Bikes""]",49.0,5,173
50121,Port Phillip,-37.85999,144.97662,Entire home/apt,2,1 bath,1,1,"[""Microwave"", ""Lockbox"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Oven"", ""Stove"", ""Patio or balcony"", ""Refrigerator"", ""Dishwasher"", ""Air conditioning"", ""Heating"", ""Dryer"", ""Iron"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Self check-in"", ""Cooking basics"", ""Washer""]",95.0,3,42
164193,Casey,-38.05723,145.33982,Entire home/apt,5,1 bath,3,3,"[""Microwave"", ""Hot water kettle"", ""Drying rack for clothing"", ""Breakfast"", ""Books and reading material"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""Dining table"", ""Smoke alarm"", ""Wifi"", ""Bed linens"", ""Dishes and silverware"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Hair dryer"", ""Room-darkening shades"", ""Shampoo"", ""Board games"", ""Kitchenette"", ""Coffee"", ""Bathtub"", ""BBQ grill: gas"", ""Body soap"", ""Laundromat nearby"", ""Central air conditioning"", ""Wine glasses"", ""Private pool"", ""Garden view"", ""42\"" HDTV with Netflix"", ""Freezer"", ""Outdoor furniture"", ""Iron"", ""Ethernet connection"", ""Central heating"", ""Fire extinguisher"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Private patio or balcony"", ""Free washer \u2013 In building"", ""Cleaning products"", ""Free parking on premises"", ""Mini fridge""]",116.0,1,228
182833,Darebin,-37.69761,145.00066,Private room,2,1 shared bath,1,1,"[""Smoking allowed"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Heating"", ""Free parking on premises"", ""Host greets you"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Air conditioning"", ""Washer""]",40.0,7,159
189684,Monash,-37.89983,145.11579,Entire home/apt,2,1 bath,1,1,"[""Stainless steel gas stove"", ""Microwave"", ""Hot water kettle"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Free driveway parking on premises \u2013 2 spaces"", ""Barbecue utensils"", ""Books and reading material"", ""Free street parking"", ""Lockbox"", ""Coffee maker: espresso machine"", ""Hot water"", ""Shared patio or balcony"", ""Dining table"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Dishes and silverware"", ""Rice maker"", ""55\"" HDTV with Chromecast, DVD player"", ""Cleaning available during stay"", ""First aid kit"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Hair dryer"", ""Stainless steel single oven"", ""Shampoo"", ""Long term stays allowed"", ""Coffee"", ""Shared backyard \u2013 Fully fenced"", ""Body soap"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Outdoor dining area"", ""Refrigerator"", ""Shower gel"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Garden view"", ""Free dryer \u2013 In building"", ""Heating"", ""Freezer"", ""Security cameras on property"", ""Outdoor furniture"", ""Sun loungers"", ""Crib"", ""Iron"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Self check-in"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Baking sheet"", ""Private entrance"", ""Cleaning products""]",117.0,2,248
4517777,Port Phillip,-37.87753,144.99487,Entire home/apt,8,2 baths,4,5,"[""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Iron"", ""Hangers"", ""Children\u2019s books and toys"", ""Essentials"", ""TV with standard cable"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Luggage dropoff allowed"", ""Hot water"", ""Hair dryer"", ""Shampoo"", ""Washer""]",350.0,7,0
2279736,Port Phillip,-37.83583,144.93791,Entire home/apt,5,2 baths,2,3,"[""Drying rack for clothing"", ""Free street parking"", ""Lockbox"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""TV"", ""Long term stays allowed"", ""Shower gel"", ""Sukin conditioner"", ""Air conditioning"", ""Heating"", ""Sukin shampoo"", ""City skyline view"", ""Dryer"", ""Iron"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Self check-in"", ""Private patio or balcony"", ""Cooking basics"", ""Cleaning products"", ""Free parking on premises"", ""Washer""]",235.0,2,0
2705870,Melbourne,-37.83022,144.98682,Private room,2,1 shared bath,1,1,"[""Private living room"", ""Carbon monoxide alarm"", ""Lockbox"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Oven"", ""Stove"", ""Refrigerator"", ""Dishwasher"", ""Lock on bedroom door"", ""Backyard"", ""Heating"", ""Dryer"", ""Iron"", ""Ethernet connection"", ""Self check-in"", ""Cooking basics"", ""Private entrance"", ""Indoor fireplace"", ""Washer""]",59.0,1,21
2558288,Yarra Ranges,-37.88234,145.36158,Entire home/apt,2,1 bath,7,1,"[""Microwave"", ""Hot water kettle"", ""BBQ grill"", ""Host greets you"", ""Hot water"", ""Dining table"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""TV"", ""Shampoo"", ""Oven"", ""Long term stays allowed"", ""Stove"", ""Coffee"", ""Shared backyard \u2013 Fully fenced"", ""Body soap"", ""Outdoor dining area"", ""Refrigerator"", ""Pets allowed"", ""Wine glasses"", ""Free parking on premises"", ""Heating"", ""Outdoor furniture"", ""Iron"", ""Cooking basics"", ""Private entrance"", ""Indoor fireplace"", ""Washer"", ""Mini fridge""]",275.0,2,19
3117312,Port Phillip,-37.86433,144.97788,Entire home/apt,8,2 baths,4,5,"[""Microwave"", ""Coffee maker"", ""Free street parking"", ""High chair"", ""Lockbox"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Oven"", ""Long term stays allowed"", ""Stove"", ""Bathtub"", ""Baby safety gates"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Central air conditioning"", ""Dishwasher"", ""Backyard"", ""Heating"", ""Outdoor furniture"", ""Iron"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Self check-in"", ""Private patio or balcony"", ""Cooking basics"", ""Beach access"", ""Private entrance"", ""Indoor fireplace""]",400.0,3,146
